                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    277,                0.34655,                0.42344,                0.95455,                      1,               8.26e-05
                    278,                0.33757,                0.38342,                0.95455,                      1,               7.93e-05
                    279,                 0.3728,                 0.3578,                      1,                      1,                7.6e-05
                    280,                0.32855,                0.33364,                      1,                      1,               7.27e-05
                    281,                0.36019,                0.35215,                0.95455,                      1,               6.94e-05
                    282,                0.31971,                0.35528,                0.95455,                      1,               6.61e-05
                    283,                0.32088,                 0.3459,                0.95455,                      1,               6.28e-05
                    284,                0.35612,                0.34894,                0.95455,                      1,               5.95e-05
                    285,                 0.3306,                 0.3787,                0.95455,                      1,               5.62e-05
                    286,                0.31486,                0.37023,                0.95455,                      1,               5.29e-05
                    287,                0.32931,                0.35731,                0.95455,                      1,               4.96e-05
                    288,                0.36886,                0.36528,                0.95455,                      1,               4.63e-05
                    289,                0.35914,                0.36969,                0.95455,                      1,                4.3e-05
                    290,                0.36343,                0.34113,                      1,                      1,               3.97e-05
                    291,                0.34067,                0.34021,                      1,                      1,               3.64e-05
                    292,                0.32484,                0.34373,                0.95455,                      1,               3.31e-05
                    293,                0.33821,                0.34563,                0.95455,                      1,               2.98e-05
                    294,                0.36452,                0.34645,                0.95455,                      1,               2.65e-05
                    295,                0.32818,                0.34217,                0.95455,                      1,               2.32e-05
                    296,                0.36489,                0.34827,                0.95455,                      1,               1.99e-05
                    297,                0.35338,                0.35594,                0.95455,                      1,               1.66e-05
                    298,                0.36872,                 0.3573,                0.95455,                      1,               1.33e-05
                    299,                0.33444,                0.35316,                0.95455,                      1,                  1e-05
